step,value_raw,value_ema_0.97
1,0.0703125,0.0703125
2,0.1171875,0.07265624999999999
3,0.0625,0.0721484375
4,0.171875,0.077134765625
5,0.171875,0.08187177734375001
6,0.21875,0.08871568847656253
7,0.1953125,0.09404552905273442
8,0.1171875,0.09520262760009769
9,0.28125,0.10450499622009282
10,0.1875,0.10865474640908819
11,0.2421875,0.11533138408863378
12,0.2890625,0.1240179398842021
13,0.125,0.12406704288999199
14,0.21875,0.1288011907454924
15,0.25,0.1348611312082178
16,0.234375,0.1398368246478069
17,0.2109375,0.14339185841541655
18,0.2734375,0.14989414049464572
19,0.203125,0.15255568346991344
20,0.15625,0.15274039929641775
21,0.359375,0.16307212933159687
22,0.2109375,0.16546539786501704
23,0.203125,0.1673483779717662
24,0.1796875,0.16796533407317787
25,0.1171875,0.16542644236951898
26,0.1953125,0.16692074525104303
27,0.28125,0.1726372079884909
28,0.2109375,0.17455222258906636
29,0.2578125,0.17871523645961304
30,0.1796875,0.1787638496366324
31,0.203125,0.17998190715480078
32,0.15625,0.17879531179706074
33,0.2734375,0.1835274212072077
34,0.3046875,0.18958542514684731
35,0.2734375,0.19377802888950493
36,0.1875,0.19346412744502967
37,0.2890625,0.19824404607277818
38,0.2421875,0.20044121876913926
39,0.15625,0.19823165783068228
40,0.1875,0.19769507493914817
41,0.2578125,0.20070094619219078
42,0.2734375,0.20433777388258123
43,0.375,0.21287088518845218
44,0.2421875,0.21433671592902956
45,0.2578125,0.21651050513257808
46,0.265625,0.2189662298759492
47,0.3125,0.22364291838215172
48,0.25,0.22496077246304413
49,0.4140625,0.23441585883989194
50,0.3671875,0.24105444089789735
51,0.296875,0.24384546885300248
52,0.4296875,0.25313757041035234
53,0.3125,0.25610569188983473
54,0.3359375,0.260097282295343
55,0.4140625,0.26779554318057586
56,0.2734375,0.2680776410215471
57,0.2890625,0.26912688397046974
58,0.3359375,0.27246741477194625
59,0.296875,0.2736877940333489
60,0.5078125,0.28539402933168145
61,0.328125,0.2875305778650974
62,0.4609375,0.29620092397184256
63,0.265625,0.2946721277732504
64,0.59375,0.3096260213845879
65,0.328125,0.3105509703153585
66,0.328125,0.3114296717995906
67,0.5390625,0.32281131320961104
68,0.34375,0.3238582475491305
69,0.375,0.326415335171674
70,0.453125,0.3327508184130903
71,0.609375,0.34658202749243583
72,0.5390625,0.35620605111781406
73,0.421875,0.35948949856192336
74,0.1796875,0.3504993986338272
75,0.5703125,0.3614900537021358
76,0.25,0.35591555101702904
77,0.4375,0.3599947734661776
78,0.3515625,0.3595731597928687
79,0.40625,0.36190700180322527
80,0.4140625,0.364514776713064
81,0.4765625,0.3701171628774108
82,0.578125,0.38051755473354026
83,0.59375,0.3911791769968633
84,0.5390625,0.39857334314702014
85,0.3203125,0.39466030098966914
86,0.4296875,0.39641166094018565
87,0.453125,0.3992473278931764
88,0.4609375,0.4023318364985176
89,0.390625,0.4017464946735917
90,0.4296875,0.4031435449399121
91,0.3671875,0.4013457426929165
92,0.3515625,0.39885658055827067
93,0.4609375,0.40196062653035713
94,0.5,0.4068625952038393
95,0.625,0.41776946544364735
96,0.609375,0.427349742171465
97,0.578125,0.43488850506289173
98,0.5234375,0.4393159548097471
99,0.296875,0.4321939070692597
100,0.5703125,0.4390998367157967
101,0.546875,0.44448859488000686
102,0.40625,0.4425766651360065
103,0.484375,0.44466658187920616
104,0.3359375,0.43923012778524584
105,0.296875,0.4321123713959835
106,0.390625,0.4300380028261843
107,0.59375,0.4382236026848751
108,0.546875,0.44365617255063133
109,0.53125,0.4480358639230998
110,0.59375,0.45532157072694485
111,0.4375,0.4544304921905976
112,0.5234375,0.4578808425810677
113,0.46875,0.4584243004520143
114,0.5390625,0.4624562104294136
115,0.25,0.4518333999079429
116,0.5546875,0.45697610491254576
117,0.6015625,0.46420542466691844
118,0.5078125,0.4663857784335725
119,0.5078125,0.4684571145118938
120,0.7578125,0.4829248837862991
121,0.5234375,0.48495051459698413
122,0.65625,0.4935154888671349
123,0.375,0.4875897144237782
124,0.6875,0.4975852287025893
125,0.6171875,0.5035653422674599
126,0.6015625,0.5084652001540869
127,0.3984375,0.5029638151463826
128,0.671875,0.5114093743890634
129,0.6015625,0.5159170306696103
130,0.5859375,0.5194180541361297
131,0.40625,0.5137596514293232
132,0.359375,0.506040418857857
133,0.5703125,0.5092540229149641
134,0.46875,0.5072288217692159
135,0.6171875,0.5127267556807551
136,0.4453125,0.5093560428967173
137,0.7734375,0.5225601157518814
138,0.484375,0.5206508599642874
